OCR|PlaceName|Items|Currency|Total|Timestamp
"SAVOURY BREAD
TOTAL
1
MENLYN MAIN CENTRE
SUPERSPAR
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
VAT rate
15.00%
ESUPERSAO
@
24.99
FOR 1 ITEMS
TENDERED Credit Card
99
TAX INVOICE
excl,
21.73
EACH
SLIP / TILL
7029 005
CASHIER NAME: Bonnie
TAX
3.26
/ CASHIER / DATE /
213 23.04.24
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
R
24.99 A
24.99
24.99
incl.
24.99 A
TIME
12:50"|Menlyn Main Centre Superspar|{'name':'Savoury Bread','quantity':1,'price':24.99}|R|24.99|23/04/2024 12:50
"MENLYN MAIN CENTRE
SUPERSPAR
VÀT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
N/GARDEN S/FRY F
MEXICORN NACHOS LIGHTLY 250G
VAT rate
0.00%
15.00%
LIPTON ICE TEA
TOTAL FOR 3 ITEMS
TENDERED Credit Card
exc1.
45.99
57.37
700GR
TAX INVOICE
TAX
1.5LT
0.00
8.61
R
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
45.99 *
39.99 A
25.99 A
111.97
111.97
incl.
45.99 *
65.98 A
SLIP/ TILL / CASHIER / DATE/ TIME
8930 007 209 25.04.24
CASHIER NAME: Odetta
17:09"|Menlyn Main Centre Superspar|[{'name':'N/Garden','quantity':1,'price':45.99},{'name':'Mexicorn Nachos Lightly','quantity':1,'price':39.99},{'name':'Lipton Ice Tea','quantity':1,'price':25.99}]|R|111.97|25/04/2024 17:09
"KAUAI
KAUAI MENLYN MAINE
Menlyn Ma ine Central Square, Corner of
Dallas Ave and, Aramist Ave, Menlyn,
Pretoria
Phone: 087 159 0127
4575 Bonginhlanhl
VAT:
NATURALLY
CHK 1911 TBL 103/1
Subtotal
Payment
2024/04/23
1 Golden Milk Lrg
Card Ret
11.22 Tax
12:53 PM
Change Due
11.22 RSA VAT 158
86.00
R86.00
R86.00
R86.00
RO.00
86.00
86.00
Check C1losed
2024/04/23 12:53 PM"|Kauai Menlyn Maine|{'name':'Golden Milk Lrg','quantity':1,'price':86.00}|R|86.00|23/04/24 12:53PM
"MENL YN MAAIN CENTRE
SUPERSPAR
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
OREO BISC VANILL
SHITCH S/BOK EDT
LIPTON ICE TEA
SAVOURY BREAD
1 @ 24.99
fOTAL FOR 4 ITE4S
TENDERED Credit Card
VAT rate
15.00% 58.23
32.9G
excl.
5004L
TAX INVO1CE
500ML
EACH
TAX
)
8.73
SLIP_/ TILL
8258 005
CASHIER NAME: Kearabilwe
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
R
11.99 A
11.99 A
17.99 A
24.99 A
66.96
66.96
incl,
66.96 A
/ CASHIER / DATE
202 2 27.03.24 12:14
TIME"|Menlyn Main Centre Superspar|[{'name':'Oreo Bisc Vanill','quantity':1,'price':11.99},{'name':'Switch S/Bok Edt','quantity':1,'price':11.99},{'name':'Lipton Ice Tea','quantity':1,'price':17.99},{'name':'Savoury Bread','quantity':1,'price':24.99}]|R|66.96|27/03/2024 12:14
"MENLYN MAIN CENTRE
SUPERSPAR
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
SPAR GRNOLA T/CH
SWITCH ENERGY CRAN CHER 500ML
VAT rate
0.00%
15.00%
SPAR SPAGHETTI
SPAR MILK L/L 2%
(K)SPAR CARRIERS BAG RE 1S
TOTAL FOR 5 ITEMS
TENDERED Credit Card
1KG
excl,
19.49
SLIP / TILL
9267 007
CASHIER NAME:
92.58
500GR
TAX INVOICE
1LT
TAX
0.00
13.89
/ CASHIER / DATE /
212 26.04.24
Ntombi
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
R
73.99 A
11.99 A
18.99 A
19.49 *
1.50 A
125.96
125.96
inc1.
19.49 *
106.47 A
TIME
16:16"|Menlyn Main Centre Superspar|[{'name':'Spar Grnola T/CH','quantity':1,'price':73.99},{'name':'Switch Energy Cran Cher','quantity':1,'price':11.99},{'name':'Spar Spaghetti','quantity':1,'price':18.99},{'name':'Spar Milk L/L 2%','quantity':1,'price':19.49},{'name':'(K)Spar Carriers Bag Re','quantity':1,'price':1.50}]|R|125.96|26/04/2024 16:16
"PicknPay
CASHIER: Cashier 05 NC67
PNE FRZ BABY PEAS 500g
# ZERO-RATED
e
Menl yn Maine
087 750 2054 /2053
VAT INCL.
NON-SUPPLY
DUE VAT INCL
TENDER-
MASTERCARD
873145
TOTAL ITEMS:
-- TAX INVOICE-
TAXABLE VAL
47.99
0.00
47.99#V
Liquor Lic.:GLB//5001126
47.99
*150897 3857 3867005
47.99
VAT VAL
---- VAT REG NO. 4O90105588--
V VITALITY HEALTHYFOOD CASH BACK IIEM
1
VEBSITE: www.pi cknpay.co.za
THENK YOU FOR SHOPPING WJTH US
0.00
0.00
PLEASE RETAIN AS YOUR GUARANTEE
CUSTOMER CARE LINE: 0860 30 30 30
6 27.04.24 16:11"|PicknPay Menlyn Maine|{'name':'Pnp Frz Baby Peas 500g','quantity':1,'price':47.99}|R|47.99|27/04/2024 16:11
"MENL YN MAIN CENTRE
SUPERSPAR
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
M/MAINE ASSORTED PIZZA EACH
1@ 32.99
TOTAL FOR 1 ITEMS
TENDERED Credit Card
VAT rate
15.00%
TAX INVOICE
TAX
excl.
28.69
4.30
R
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
32.99 A
32.99
32.99
incl.
32.99 A
SLIP / TILL / CASHIER / DATE/ TIME
7423
005
CASHIER NAME: Bonnie
213 24.04.24 12:18"|Menlyn Main Centre Superspar|{'name':'M/Maine Assorted Pizza','quantity':1,'price':32.99}|R|32.99|24/04/2024 12:18
"MENLYN MAIN CENTRE
SUPERSPAR
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
VAT rate
15.00%
DIVELLA FARFALLE #85
POLLI SUNDRIED TOMATOES 285G
TOTAL FOR 2 ITEMS
TENDERED Credit Card
500G
-- TAX INVOICE
excl.
119.98 18.00
TAX
R
42.99 A
SLIP / TILL/ CASHIER/ DATE /
4227 005
231
CASHIER NAME: TSHIAMO
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
137.98
94.99 A
137.98
14.04.24
incl.
137.98 A
TIME
13:37"|Menlyn Main Centre Superspar|[{'name':'Divella Farfalle #85','quantity':1,'price':42.99},{'name':'Polli Sundried Tomatoes','quantity':1,'price':94.99}]|R|137.98|14/04/2024 13:37
"MENLYN MAIN CENTRE
SUPERSPAR
MAGNUM ALMOND
TOTAL
VAT rate
15.00%
SUPERSREO
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
FOR 1 ITEMS
TENDERED Credit Card
exc].
27.83
SLIP / TILL
5752 006
CASHIER NAME:
100ML
TAX INVOICE
TAX
4.17
/ CASHIER/ DATE /
208
Thandiwe
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
16.03.24
R
32.00 A
32.00
32.00
incl.
32.00 A
TIME
17:36"|Menlyn Main Centre Superspar|{'name':'Magnum Almond','quantity':1,'price':32.00}|R|32.00|16/03/2024 17:36
"PicknPay
CASHIER: Lucia Boishelo
e
BERRY BUSH ROSE 750ml
CARRIER BAG 24_
VAT INCL
# ZER-RATE)
Menlyn Maine
037 750 2054 /2053
NON-SUPP_Y
*351r
TOTAL ITEMS:
--- TAX INVOICE--
TAXABLE VAL
66.15
DUE VAT INCL
-- - TENDER--
MASTERCARD
357013
0.00
65.00
1.15
66.15
66.15
VAT VAL
2
--- VAT REG NO. 4090105588-
V VITALITY 4EA_T4YFO00 CASH BACK ITEM
WEBSITE: NWW.pic<rpay. co. Za
THANK YDU FOR SHOPPING WITH US
8.63
0.00
Liquo_ic.:GL3//5001126
PLEASE ETAIN AS YOUR GUARANTEE
CUSTIMER CARE LINE: 0860 30 30 30
67 1023323 11 15.03.24 16:25"|PicknPay Menlyn Maine|[{'name':'Berry Bush Rose 750ml','quantity':1,'price':65.00},{'name':'Carrier Bag 24l','quantity':1,'price':1.15}]|R|66.15|15/03/2024 16:25
"SERANO ROASTED SALT BLA 200GR
SIMBA SMOKED BF
DIVELLA FUSILLI #40
A/G TOM PUREE
SAVOURY BREAD
MENLYN MAIN CENTRE
SUPERSPAR
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
VAT rate
15.00%
120GR
2490
500G
410G
1 @ 24.99
PRV FRZN PORK PLAIN RAS /KG
0.546kg@114.99 R
LIPTON ICE TEA
SPAR MIN WATER
TOTAL FOR 8 ITEMS
TENDERED Credit Card
EACH
/kg
1.5LT
5LT
TAX INVOICE
excl.
234.53 35.18
TAX
SLIP / TILL / CASHIER / DATE
002
CAS ER NAME: 0detta
/
209 13.03.24
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
R
45.99 A
17.99 A
29.99 A
32.99 A
24.99 A
62.78 A
25.99 A
28.99
269.71
269.71
incl.
269.71 A
TIME
12:27
A"|Menlyn Main Centre Superspar|[{'name':'Serano Roasted Salt Bla','quantity':1,'price':45.99},{'name':'Simba Smoked Bf','quantity':1,'price':17.99},{'name':'Divella Fusilli #40','quantity':1,'price':29.99},{'name':'A/G Tom Puree','quantity':1,'price':32.99},{'name':'Savoury Bread','quantity':1,'price':24.99},{'name':'Prv Frzn Pork Plain Ras','quantity':1,'price':62.78},{'name':'Lipton Ice Tea','quantity':1,'price':25.99},{'name':'Spar Min Water','quantity':1,'price':28.99}]|R|269.71|13/03/2024 12:27
